NAME      z_mean      z_MAP       z_median    z_mode      z_16th      z_84th      z_std       z_R^2 a_mean  a_MAP   a_median a_mode  a_16th  a_84th  a_std     a_R^2 E_mean   E_MAP    E_median E_mode   E_16th   E_84th   E_std      E_R^2 d_mean  d_MAP   d_median d_mode  d_16th  d_84th  d_std     d_R^2 M_mean  M_MAP   M_median M_mode  M_16th  M_84th  M_std   M_R^2 b_mean   b_MAP     b_median b_mode    b_16th    b_84th   b_std    b_R^2 Nt
haf14_03  0.0230376   0.0243744   0.0243291   0.0244208   0.0212407   0.0247799   0.00401757  0.71  8.67005 8.67883 8.70443  8.7553  8.52341 8.77706 0.129474  0.87  0.655208 0.667025 0.642561 0.611109 0.60091  0.727197 0.0624599  0.94  13.0028 13.0364 12.9916  12.9581 12.934  13.08   0.0618217 0.93  3950.33 2713.99 3378.16  3126.66 2670.12 4702.72 1889.2  0.72  0.635347 0.445059  0.623406 0.618318  0.483478  0.773836 0.154964 0.98  3.10E+00
haf14_09  0.00862423  0.00607329  0.00597379  0.00579426  0.00565784  0.0147674   0.00416138  0.71  8.36094 8.42196 8.38636  8.40562 8.25078 8.42073 0.0800661 0.84  0.591774 0.613893 0.606215 0.613107 0.544678 0.61973  0.032034   0.87  13.03   13.099  13.036   13.0443 12.9864 13.0791 0.0471685 0.95  4856.65 6977.16 5107.92  2760.17 2675.97 6933.62 1921.08 0.95  0.785265 0.952635  0.885245 0.921021  0.516755  0.964741 0.204063 0.82  3.10E+00
haf14_01  0.0271634   0.0264311   0.0270493   0.0283589   0.0261242   0.0284551   0.00151377  0.84  8.59277 8.65007 8.62016  8.62161 8.55723 8.64904 0.0873876 0.66  0.717686 0.698803 0.708679 0.705519 0.693731 0.744649 0.0329787  0.84  12.9322 12.9019 12.9243  12.9109 12.9057 12.9595 0.0282438 0.89  1505.99 1215.44 1432.58  1304.77 1202.87 1887.33 305.488 0.95  0.0      0.0       0.0      0.0       nan       nan      nan      nan   3.10E+00
haf14_04  0.0196562   0.0234783   0.0197854   0.0198115   0.016394    0.023284    0.00265736  0.92  8.31776 8.22421 8.32941  8.3667  8.22409 8.37778 0.0643392 0.9   0.594494 0.622813 0.599002 0.606394 0.535368 0.635828 0.0550009  0.98  13.0385 13.0968 13.0533  13.0756 12.9827 13.0868 0.0500622 0.9   1751.03 1158.09 1556.56  1452.53 1156.08 2819.25 644.524 0.9   0.0      0.0       0.0      0.0       nan       nan      nan      nan   3.10E+00
haf14_07  0.0138691   0.0147069   0.0141309   0.0123572   0.0122735   0.0148243   0.00223605  0.66  8.35102 8.37584 8.36288  8.37337 8.32495 8.37996 0.0505235 0.7   0.550924 0.529737 0.553428 0.55943  0.523675 0.578139 0.0247999  0.98  12.9914 12.9898 12.9854  12.9463 12.9286 13.0615 0.0568571 0.95  1017.36 1069.98 960.187  930.52  842.071 1270.11 219.407 0.92  0.0      0.0       0.0      0.0       nan       nan      nan      nan   3.10E+00
haf14_06  0.00816563  0.008561    0.00836519  0.00849545  0.00600607  0.00929728  0.00182687  0.84  8.38878 8.42058 8.38114  8.38332 8.32482 8.43463 0.0681791 0.91  0.61353  0.624042 0.608383 0.60464  0.589257 0.633978 0.0380484  0.83  13.042  13.0946 13.0618  13.0801 12.9755 13.0926 0.0538292 0.87  8104.7  9125.34 8438.1   9042.69 5795.46 10375.7 2263.61 0.99  0.910188 0.926502  0.94022  0.966093  0.829736  0.984307 0.102231 0.72  3.10E+00
haf14_02  0.028145    0.0299286   0.0290108   0.0298352   0.0281879   0.0298925   0.00293729  0.6   8.61988 8.69997 8.65999  8.68596 8.53961 8.70259 0.104504  0.85  0.680098 0.648221 0.671112 0.659669 0.638636 0.720682 0.0437455  0.95  12.9561 12.9407 12.9448  12.9254 12.9138 13.0023 0.0434904 0.92  2263.85 2133.7  2264.83  1796.51 1770.87 2759.07 415.721 0.95  0.3      0.3       0.3      0.3       nan       nan      nan      nan   3.10E+00
haf14_05  0.0132564   0.00926615  0.0142619   0.0144004   0.00933696  0.0148025   0.00334438  0.84  8.36366 8.42111 8.37681  8.41037 8.31313 8.42091 0.0673075 0.86  0.590719 0.587799 0.593451 0.595231 0.563484 0.616718 0.0308935  0.96  12.9764 12.9199 12.9657  12.9367 12.9196 13.0408 0.0550533 0.93  2469.27 2662.2  2588.63  2781.65 1837.27 2951.2  500.302 0.96  0.3      0.3       0.3      0.3       nan       nan      nan      nan   3.10E+00
haf14_08  0.0184992   0.020063    0.0198072   0.0197891   0.0196056   0.0200078   0.00334752  0.5   8.2969  8.33347 8.33399  8.33804 8.18605 8.35561 0.0982712 0.88  0.546085 0.547448 0.548094 0.549625 0.527453 0.559333 0.0189262  0.96  13.0469 13.0942 13.0686  13.0868 12.9833 13.0955 0.0536758 0.85  1743.07 1695.81 1735.66  1724.36 1569.73 1934.66 212.822 0.97  0.3      0.3       0.3      0.3       nan       nan      nan      nan   3.10E+00
rup152_03 0.00179872  0.000281936 0.00119795  0.001369    0.000320055 0.00179033  0.00400223  0.32  8.61243 8.41807 8.60102  8.49297 8.39229 8.83916 0.255892  0.93  0.738424 0.781762 0.775062 0.78908  0.714531 0.795275 0.120284   0.45  14.1243 14.0885 14.1318  14.1686 14.0629 14.1824 0.0529889 0.95  1644.75 1184.85 1583.97  1555.73 1236.31 1959.16 508.959 0.77  0.327655 0.259671  0.312    0.295367  0.211915  0.432893 0.129604 0.94  3.10E+00
